prompt,intent,theme,cycle_phase,Hindi Translation,Tamil Translation,Bengali Translation,Marathi Translation,Hinglish Translation
What are 2 small actions you could take to feel better about you feel emotionally low?,stress_relief,Anxiety and low mood during periods,pre-period,आप भावनात्मक रूप से कम महसूस करने के बारे में बेहतर महसूस करने के लिए 2 छोटे कार्य कर सकते हैं?,உங்களைப் பற்றி நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,আপনার আবেগগতভাবে কম বোধ করার জন্য আপনি 2 টি ছোট ক্রিয়া কী কী আপনি নিতে পারেন?,आपल्याबद्दल भावनिकदृष्ट्या कमी वाटण्यासाठी आपण काय करू शकता अशा 2 लहान क्रिया काय आहेत?,Tum kya do chote kadam utha sakte ho apne aapko emotionally low feel karne par behtar mehsoos karne ke liye?
What are 2 small actions you could take to feel better about you feel uncomfortable in your body?,stress_relief,Body image and self-esteem issues,post-period,आपके शरीर में असहज महसूस करने के बारे में बेहतर महसूस करने के लिए आप 2 छोटे कार्य कर सकते हैं?,உங்கள் உடலில் சங்கடமாக இருப்பதைப் பற்றி நன்றாக உணர நீங்கள் எடுக்கக்கூடிய 2 சிறிய செயல்கள் யாவை?,আপনার শরীরে অস্বস্তি বোধ করার জন্য আপনি আরও ভাল বোধ করতে আপনি 2 টি ছোট ক্রিয়া কী কী?,आपल्या शरीरात अस्वस्थ वाटण्यासाठी आपण अधिक चांगले वाटण्यासाठी आपण कोणत्या 2 लहान कृती करू शकता?,Tumhare sharir mein agar asuvidha mehsoos ho rahi hai toh tum do chhoti kadam kya utha sakte ho apne aap ko behtar mehsoos karne ke liye?
How does your body feel when you're thinking about youâ€™re feeling anxious and tired?,mood_reframe,Anxiety and low mood during periods,menstruation,जब आप चिंतित और थके हुए महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்று நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তখন আপনার শরীরটি কেমন অনুভব করে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असताना आपल्या शरीराला कसे वाटते?,"Jab aapko lagta hai ki aap vyakul aur thake hue hain, to aapka sharir kaisa mehsoos karta hai?"
Can you identify a small step to handle you feel irritable for no reason?,stress_relief,Hormonal stress,pre-period,क्या आप बिना किसी कारण के चिड़चिड़ा महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,எந்த காரணமும் இல்லாமல் நீங்கள் எரிச்சலூட்டுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি বিনা কারণে বিরক্ত বোধ করার জন্য আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,विनाकारण आपल्याला चिडचिडेपणा वाटण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jisse aap bin kisi wajah ke chidchide mahsoos karne ka samna kar saken?
What might change if you were a little kinder to yourself about your body feels out of sync?,stress_relief,Hormonal stress,menstruation,यदि आप अपने शरीर के बारे में अपने आप के लिए थोड़े दयालु थे तो क्या बदल सकता है?,உங்கள் உடலைப் பற்றி நீங்களே கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি নিজের শরীর সম্পর্কে নিজের সাথে কিছুটা দয়ালু হয়ে থাকেন তবে কী পরিবর্তন হতে পারে?,आपण आपल्या शरीराला समक्रमित झाल्यासारखे वाटत असल्यास आपण स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne sharir ko lekar thoda aur dayalu ho jate, to kya badlav ho sakta hai jo abhi sync se bahar mehsoos ho raha hai?"
What might change if you were a little kinder to yourself about you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,pre-period,यदि आप अपने बारे में थोड़ा दयालु थे तो आप भावनात्मक बदलावों से अभिभूत महसूस कर सकते हैं?,உணர்ச்சிபூர்வமான மாற்றங்களால் நீங்கள் அதிகமாக உணர்ந்ததைப் பற்றி நீங்கள் கொஞ்சம் கனிவானவராக இருந்தால் என்ன மாறக்கூடும்?,আপনি যদি সংবেদনশীল পরিবর্তন দেখে অভিভূত বোধ করেন সে সম্পর্কে আপনি নিজের প্রতি একটু দয়ালু হয়ে থাকলে কী পরিবর্তন হতে পারে?,आपण भावनिक बदलांमुळे भारावून गेलेल्या आपल्याबद्दल स्वत: चे थोडे दयाळू असाल तर काय बदलू शकते?,"Agar aap apne aap ko jyada dayalu banate hain jab aapko bhavnatmak parivartan se bahut adhik dabav mehsoos hota hai, toh kya badlav ho sakta hai?"
What would you say to a friend who is struggling with you feel overwhelmed by emotional shifts?,body_acceptance,PMS mood swings,post-period,"आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है, भावनात्मक बदलावों से अभिभूत महसूस करता है?",உங்களுடன் போராடும் ஒரு நண்பரிடம் உணர்ச்சிவசப்பட்ட மாற்றங்களால் அதிகமாக உணர்கிறீர்கள்?,আপনি এমন কোনও বন্ধুকে কী বলবেন যিনি আপনার সাথে লড়াই করছেন সংবেদনশীল পরিবর্তন দেখে অভিভূত বোধ করছেন?,भावनिक बदलांमुळे आपल्याशी संघर्ष करणार्‍या मित्राला आपण काय म्हणाल?,Agar tumhara dost bhavnatmak parivartan se pareshan ho raha hai to tum usse kya kahoge?
What would you say to a friend who is struggling with you feel uncomfortable in your body?,mood_reframe,Body image and self-esteem issues,menstruation,आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है वह आपके शरीर में असहज महसूस करता है?,உங்களுடன் போராடும் நண்பரிடம் உங்கள் உடலில் சங்கடமாக இருப்பதற்கு நீங்கள் என்ன சொல்வீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে আপনার শরীরে অস্বস্তি বোধ করছেন?,आपल्या शरीरात अस्वस्थ वाटणार्‍या मित्राला आपण काय म्हणाल?,Tum kya kahoge ek dost ko jo apne sharir mei acomfortable mehsoos kar raha hai?
How can you reframe the thought that you feel uncomfortable in your body?,stress_relief,Body image and self-esteem issues,menstruation,आप इस विचार को कैसे रोक सकते हैं कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக இருக்கும் என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনি কীভাবে আপনার শরীরে অস্বস্তি বোধ করছেন এই চিন্তাকে আপনি কীভাবে পুনর্বিবেচনা করতে পারেন?,आपण आपल्या शरीरात अस्वस्थ आहात असा विचार आपण कसा पुन्हा सांगू शकता?,Aap apne mann ko kaise badal sakte hain ki aapko apne sharir mein asuvidha mehsoos hoti hai?
Whatâ€™s another way to look at the fact that your mood changes suddenly?,stress_relief,PMS mood swings,menstruation,इस तथ्य को देखने का एक और तरीका क्या है कि आपका मूड अचानक बदल जाता है?,உங்கள் மனநிலை திடீரென்று மாறுகிறது என்பதைப் பார்க்க மற்றொரு வழி என்ன?,আপনার মেজাজ হঠাৎ পরিবর্তিত হওয়ার বিষয়টি দেখার আর কী উপায়?,आपला मूड अचानक बदलतो हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhara mood achanak se badalne ki baat ko hum ek aur tareeke se kaise dekhe?
Whatâ€™s another way to look at the fact that youâ€™re not confident in how you look?,mood_reframe,Body image and self-esteem issues,pre-period,इस तथ्य को देखने का एक और तरीका क्या है कि आप इस बात पर भरोसा नहीं करते हैं कि आप कैसे दिखते हैं?,நீங்கள் எப்படி இருக்கிறீர்கள் என்பதில் உங்களுக்கு நம்பிக்கை இல்லை என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনি কীভাবে দেখছেন তাতে আপনি আত্মবিশ্বাসী নন এই সত্যটি দেখার আর কী উপায়?,आपण कसे दिसते यावर आपल्याला विश्वास नाही या वस्तुस्थितीकडे पाहण्याचा आणखी एक मार्ग कोणता आहे?,"Tum apne aapko kaise dikhte ho usmein vishwas nahi kar rahe ho, is tathya ko dekhne ka dusra tarika kya hai?"
What would you say to a friend who is struggling with you feel irritable for no reason?,body_acceptance,Hormonal stress,post-period,"आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है, बिना किसी कारण के चिड़चिड़ा महसूस कर रहा है?",உங்களுடன் போராடும் நண்பரிடம் எந்த காரணமும் இல்லாமல் எரிச்சலூட்டுவதாக உணருவீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে অকারণে বিরক্ত বোধ করছেন?,आपल्याशी संघर्ष करणार्‍या मित्राला विनाकारण चिडचिडेपणा वाटणार्‍या मित्राला आपण काय म्हणाल?,Tum apne dost se kya kahoge jo tumhare saath sangharsh kar raha hai jab tum bina kisi kaaran ke chidchide mehsoos karte ho?
What evidence do you have that supports or challenges the thought that youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,pre-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप चिंतित और थके हुए महसूस कर रहे हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்ற எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন এই চিন্তাকে সমর্থন বা চ্যালেঞ্জ করে?,आपण चिंताग्रस्त आणि थकल्यासारखे आहात या विचारांना समर्थन देणारे किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo yeh vichar samarthan karta hai ya challenge karta hai ki aapko chinta aur thakan mehsoos ho rahi hai?
Think of a time you overcame youâ€™re not confident in how you look. What helped?,body_acceptance,Body image and self-esteem issues,post-period,उस समय के बारे में सोचें जब आप ओवरकैम हो जाते हैं कि आप इस बात पर भरोसा नहीं करते हैं कि आप कैसे दिखते हैं। क्या मदद की?,நீங்கள் எப்படி இருக்கிறீர்கள் என்பதில் உங்களுக்கு நம்பிக்கை இல்லாத நேரத்தைப் பற்றி யோசித்துப் பாருங்கள். என்ன உதவியது?,আপনি কীভাবে দেখছেন তাতে আত্মবিশ্বাসী নন এমন সময় সম্পর্কে আপনি যে সময়টি কাটিয়ে উঠেছেন সে সম্পর্কে ভাবেন। কি সাহায্য করেছে?,आपण कसे आहात यावर आपण विश्वास ठेवत नाही अशा वेळेचा विचार करा. काय मदत केली?,Socho aise samay ke baare mein jab aapne apne aap ko kaise dikhte ho usmein vishwas nahi kiya tha. Aapko kya madad ki?
How can you reframe the thought that you feel emotionally low?,stress_relief,Anxiety and low mood during periods,menstruation,आप उस विचार को कैसे रोक सकते हैं जो आप भावनात्मक रूप से कम महसूस करते हैं?,நீங்கள் உணர்ச்சி ரீதியாக குறைவாக உணர்கிறீர்கள் என்ற எண்ணத்தை எவ்வாறு மறுபரிசீலனை செய்யலாம்?,আপনি কীভাবে আবেগগতভাবে কম বোধ করেন তা আপনি কীভাবে প্রত্যাখ্যান করতে পারেন?,आपण भावनिकदृष्ट्या कमी आहात असा विचार आपण कसे पुन्हा सांगू शकता?,Aap kaise soch ko phir se frame kar sakte hain ki aap emotionally low mehsoos kar rahe hain?
What would you say to a friend who is struggling with you feel irritable for no reason?,body_acceptance,Hormonal stress,menstruation,"आप एक दोस्त से क्या कहेंगे जो आपके साथ संघर्ष कर रहा है, बिना किसी कारण के चिड़चिड़ा महसूस कर रहा है?",உங்களுடன் போராடும் நண்பரிடம் எந்த காரணமும் இல்லாமல் எரிச்சலூட்டுவதாக உணருவீர்கள்?,আপনার সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন যে অকারণে বিরক্ত বোধ করছেন?,आपल्याशी संघर्ष करणार्‍या मित्राला विनाकारण चिडचिडेपणा वाटणार्‍या मित्राला आपण काय म्हणाल?,Tum kya kahoge ek dost se jo tumhare bina kisi wajah ke chidchide hone ka samna kar raha hai?
What evidence do you have that supports or challenges the thought that youâ€™re feeling anxious and tired?,body_acceptance,Anxiety and low mood during periods,pre-period,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आप चिंतित और थके हुए महसूस कर रहे हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்ற எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন এই চিন্তাকে সমর্থন বা চ্যালেঞ্জ করে?,आपण चिंताग्रस्त आणि थकल्यासारखे आहात या विचारांना समर्थन देणारे किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Tumhare paas kya saboot hai jo yeh soch ko samarthan karta hai ya challenge karta hai ki tum anxious aur thake hue mehsoos kar rahe ho?
Whatâ€™s another way to look at the fact that youâ€™re not confident in how you look?,stress_relief,Body image and self-esteem issues,pre-period,इस तथ्य को देखने का एक और तरीका क्या है कि आप इस बात पर भरोसा नहीं करते हैं कि आप कैसे दिखते हैं?,நீங்கள் எப்படி இருக்கிறீர்கள் என்பதில் உங்களுக்கு நம்பிக்கை இல்லை என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনি কীভাবে দেখছেন তাতে আপনি আত্মবিশ্বাসী নন এই সত্যটি দেখার আর কী উপায়?,आपण कसे दिसते यावर आपल्याला विश्वास नाही या वस्तुस्थितीकडे पाहण्याचा आणखी एक मार्ग कोणता आहे?,"Tum apne dikhne ki tarah confident nahi ho, is baat ko ek aur tareeke se dekhne ka kya hai?"
"If this were a recurring pattern, how might you prepare for it emotionally?",mood_reframe,Anxiety and low mood during periods,menstruation,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayyar hote?"
Think of a time you overcame you feel emotionally low. What helped?,stress_relief,Anxiety and low mood during periods,post-period,उस समय के बारे में सोचें जब आप भावनात्मक रूप से कम महसूस करते हैं। क्या मदद की?,நீங்கள் உணர்ச்சிவசப்படுவதை நீங்கள் வென்ற நேரத்தை நினைத்துப் பாருங்கள். என்ன உதவியது?,আপনি যে সময়টি কাটিয়ে উঠেছেন তা আপনি আবেগগতভাবে কম বলে মনে করেন সে সম্পর্কে ভাবুন। কি সাহায্য করেছে?,आपण भावनिकदृष्ट्या कमी वाटता अशा वेळेचा विचार करा. काय मदत केली?,Socho ek samay jab aapne apne aapko emotionally low feel karne se ubaara. Kya cheez aapki madad ki thi?
What evidence do you have that supports or challenges the thought that your body feels out of sync?,body_acceptance,Hormonal stress,menstruation,आपके पास क्या सबूत है जो इस विचार का समर्थन या चुनौती देता है कि आपका शरीर सिंक से बाहर महसूस करता है?,உங்கள் உடல் ஒத்திசைவிலிருந்து உணர்கிறது என்ற எண்ணத்தை ஆதரிக்கும் அல்லது சவால் செய்யும் என்ன ஆதாரம் உங்களிடம் உள்ளது?,আপনার কী প্রমাণ রয়েছে যা আপনার শরীরকে সিঙ্কের বাইরে অনুভব করে এমন চিন্তাকে সমর্থন করে বা চ্যালেঞ্জ করে?,आपल्या शरीराला समक्रमित होण्याच्या विचारांना पाठिंबा किंवा आव्हान देणारे आपल्याकडे कोणते पुरावे आहेत?,Aapke paas kya saboot hai jo yeh vichar samarthan karta hai ya challenge karta hai ki aapka sharir sync se bahar mehsoos ho raha hai?
How does your body feel when you're thinking about youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,post-period,जब आप चिंतित और थके हुए महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்று நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তখন আপনার শরীরটি কেমন অনুভব করে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असताना आपल्या शरीराला कसे वाटते?,Tumhare sharir ko kaisa mehsoos hota hai jab tum sochte ho ki tumhe chinta aur thakan mehsoos ho rahi hai?
Can you identify a small step to handle you feel irritable for no reason?,mood_reframe,Hormonal stress,menstruation,क्या आप बिना किसी कारण के चिड़चिड़ा महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,எந்த காரணமும் இல்லாமல் நீங்கள் எரிச்சலூட்டுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি বিনা কারণে বিরক্ত বোধ করার জন্য আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,विनाकारण आपल्याला चिडचिडेपणा वाटण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chota kadam pehchan sakte hain jisse aap bekaar mein irritate hone ka samna kar sakte hain?
What would you say to a friend who is struggling with youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,pre-period,आप एक दोस्त से क्या कहेंगे जो आप चिंतित और थका हुआ महसूस कर रहे हैं?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் இருக்கும் ஒரு நண்பரிடம் என்ன சொல்வீர்கள்?,আপনি এমন কোনও বন্ধুকে কী বলবেন যিনি আপনার সাথে লড়াই করছেন যে আপনি উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असलेल्या मित्राला आपण काय म्हणाल?,"Agar tumhara dost pareshan hai aur tumhe chinta aur thakan mahsoos ho rahi hai, to tum usse kya kahoge?"
What would you say to a friend who is struggling with your body feels out of sync?,mood_reframe,Hormonal stress,pre-period,"आप एक दोस्त से क्या कहेंगे जो आपके शरीर से जूझ रहा है, वह सिंक से बाहर है?",உங்கள் உடலுடன் போராடும் நண்பரிடம் நீங்கள் என்ன சொல்வீர்கள்?,আপনার শরীরের সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন?,आपल्या शरीराशी झगडत असलेल्या मित्राला आपण काय म्हणाल?,Tum kya kahoge ek dost ko jo apne sharir ke anukool nahi mehsoos kar raha hai?
"If this were a recurring pattern, how might you prepare for it emotionally?",mood_reframe,Body image and self-esteem issues,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap ise emotionally kaise taiyaar hote?"
"If this were a recurring pattern, how might you prepare for it emotionally?",stress_relief,PMS mood swings,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayari kar sakte hain?"
Can you identify a small step to handle youâ€™re not confident in how you look?,mood_reframe,Body image and self-esteem issues,menstruation,क्या आप एक छोटे से कदम की पहचान कर सकते हैं कि आप इस बात से आश्वस्त नहीं हैं कि आप कैसे दिखते हैं?,நீங்கள் எப்படி இருக்கிறீர்கள் என்பதில் உங்களுக்கு நம்பிக்கை இல்லாததைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি কীভাবে দেখছেন তাতে আত্মবিশ্বাসী নন তা পরিচালনা করার জন্য আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपण कसे दिसते याबद्दल आपल्याला आत्मविश्वास नाही हे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chhota kadam pehchan sakte hain jis se aap apne dikhne ke prati confident na hone ka samna kar sakein?
How does your body feel when you're thinking about youâ€™re feeling anxious and tired?,stress_relief,Anxiety and low mood during periods,post-period,जब आप चिंतित और थके हुए महसूस कर रहे हैं तो आपका शरीर कैसा महसूस करता है?,நீங்கள் ஆர்வமாகவும் சோர்வாகவும் உணர்கிறீர்கள் என்று நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন উদ্বিগ্ন এবং ক্লান্ত বোধ করছেন তখন আপনার শরীরটি কেমন অনুভব করে?,आपण चिंताग्रस्त आणि थकल्यासारखे वाटत असताना आपल्या शरीराला कसे वाटते?,"Jab tum apne aap ko anxious aur thake huye mehsoos karte ho, toh tumhara sharir kaisa mehsoos karta hai?"
Whatâ€™s another way to look at the fact that your mood changes suddenly?,stress_relief,PMS mood swings,menstruation,इस तथ्य को देखने का एक और तरीका क्या है कि आपका मूड अचानक बदल जाता है?,உங்கள் மனநிலை திடீரென்று மாறுகிறது என்பதைப் பார்க்க மற்றொரு வழி என்ன?,আপনার মেজাজ হঠাৎ পরিবর্তিত হওয়ার বিষয়টি দেখার আর কী উপায়?,आपला मूड अचानक बदलतो हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhare mood ka achanak badalna ka ek aur nazariya kya ho sakta hai?
"If this were a recurring pattern, how might you prepare for it emotionally?",body_acceptance,Body image and self-esteem issues,pre-period,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap emotionally iske liye kaise tayaar hote?"
Can you identify a small step to handle you feel emotionally low?,mood_reframe,Anxiety and low mood during periods,pre-period,क्या आप भावनात्मक रूप से कम महसूस करने के लिए एक छोटे कदम की पहचान कर सकते हैं?,நீங்கள் உணர்ச்சிவசப்படுவதைக் கையாள ஒரு சிறிய படியை அடையாளம் காண முடியுமா?,আপনি আবেগগতভাবে কম বোধ করতে আপনি একটি ছোট পদক্ষেপ সনাক্ত করতে পারেন?,आपल्याला भावनिकदृष्ट्या कमी वाटेल असे हाताळण्यासाठी आपण एक लहान पाऊल ओळखू शकता?,Kya aap ek chota kadam pehchaan sakte hain jab aapko emotionally low feel ho raha ho?
"If this were a recurring pattern, how might you prepare for it emotionally?",stress_relief,Anxiety and low mood during periods,menstruation,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayyar hote?"
What would you say to a friend who is struggling with your mood changes suddenly?,body_acceptance,PMS mood swings,pre-period,आप एक दोस्त को क्या कहेंगे जो आपके मूड में अचानक संघर्ष कर रहा है?,திடீரென்று உங்கள் மனநிலை மாற்றங்களுடன் போராடும் நண்பரிடம் நீங்கள் என்ன சொல்வீர்கள்?,হঠাৎ আপনার মেজাজ পরিবর্তনের সাথে লড়াই করে এমন কোনও বন্ধুকে আপনি কী বলবেন?,अचानक आपल्या मनःस्थितीत बदल घडवून आणणार्‍या मित्राला आपण काय म्हणाल?,Agar aapka mood achanak badal jaaye toh aap apne dost se kya kahenge jo isse pareshan ho raha hai?
How does your body feel when you're thinking about you feel emotionally low?,mood_reframe,Anxiety and low mood during periods,pre-period,जब आप सोच रहे हैं कि आप भावनात्मक रूप से कम महसूस करते हैं तो आपका शरीर कैसा महसूस करता है?,உங்களைப் பற்றி நீங்கள் நினைக்கும் போது உங்கள் உடல் எப்படி உணர்கிறது?,আপনি যখন আবেগগতভাবে কম বোধ করেন তখন আপনার শরীরটি কেমন অনুভব করে?,जेव्हा आपण आपल्याबद्दल भावनिकदृष्ट्या कमी वाटता तेव्हा आपल्या शरीराला कसे वाटते?,"Jab tum emotionally low feel karte ho, tab tumhara sharir kaisa mehsoos hota hai?"
Whatâ€™s another way to look at the fact that you feel uncomfortable in your body?,stress_relief,Body image and self-esteem issues,post-period,इस तथ्य को देखने का एक और तरीका क्या है कि आप अपने शरीर में असहज महसूस करते हैं?,உங்கள் உடலில் நீங்கள் சங்கடமாக உணர்கிறீர்கள் என்ற உண்மையைப் பார்க்க மற்றொரு வழி என்ன?,আপনি আপনার শরীরে অস্বস্তি বোধ করছেন এই সত্যটি দেখার আর কী উপায়?,आपल्या शरीरात आपल्याला अस्वस्थ वाटते हे पाहण्याचा आणखी एक मार्ग कोणता आहे?,Tumhare sharir mei discomfort mehsoos karne ki baat ko hum ek aur tareeke se kaise dekhe?
"If this were a recurring pattern, how might you prepare for it emotionally?",mood_reframe,PMS mood swings,menstruation,"यदि यह एक आवर्ती पैटर्न था, तो आप इसे भावनात्मक रूप से कैसे तैयार कर सकते हैं?","இது தொடர்ச்சியான வடிவமாக இருந்தால், அதற்காக நீங்கள் எவ்வாறு உணர்ச்சிவசப்படலாம்?",যদি এটি একটি পুনরাবৃত্তি প্যাটার্ন হয় তবে আপনি কীভাবে এটি আবেগগতভাবে প্রস্তুত করতে পারেন?,जर ही पुनरावृत्ती होणारी पद्धत असेल तर आपण भावनिकदृष्ट्या त्यासाठी कशी तयार करू शकता?,"Agar yeh ek baar baar hone wala pattern hota, toh aap iske liye emotionally kaise tayari karte?"
